playerID,yearID,teamID,AB,H,BB,HBP,SF
bergetr01,2021,TOR,0,0,0,0,0
berrijo01,2021,MIN,2,0,0,0,0
berrijo01,2021,TOR,1,0,0,0,0
bertijo01,2021,MIA,233,49,32,3,2
betande01,2021,NYN,0,0,0,0,0
bettial01,2021,MIL,1,0,0,0,0
bettsmo01,2021,LAN,466,123,68,11,5
biagijo01,2021,CHN,0,0,0,0,0
bichebo01,2021,TOR,640,191,40,6,4
bickfph01,2021,MIL,0,0,0,0,0
bickfph01,2021,LAN,3,1,0,0,0
biddlje01,2021,ATL,0,0,0,0,0
biebesh01,2021,CLE,6,0,0,0,0
bielabr01,2021,HOU,0,0,0,0,0
biggica01,2021,TOR,250,56,37,1,4
bishobr01,2021,SEA,4,1,0,0,0
blackch02,2021,COL,514,139,54,11,3
blackpa01,2021,OAK,0,0,0,0,0
blandal01,2021,CIN,70,14,8,4,0
blanktr01,2021,MIN,0,0,0,0,0
blanktr01,2021,NYN,23,4,1,0,0
bleieri01,2021,MIA,0,0,0,0,0
blewesc01,2021,KCA,0,0,0,0,0
bogaexa01,2021,BOS,529,156,62,5,7
bohmal01,2021,PHI,380,94,31,2,4
bolanro01,2021,KCA,0,0,0,0,0
boltsk01,2021,SFN,1,0,0,0,0
boltsk01,2021,OAK,56,5,1,0,0
bonifjo01,2021,PHI,11,1,1,0,0
borucry01,2021,TOR,0,0,0,0,0
bostiak01,2021,NYN,0,0,0,0,0
boteda01,2021,CHN,291,58,27,5,3
bowdebe01,2021,COL,0,0,0,0,0
boxbebr01,2021,MIL,0,0,0,0,0
boydma01,2021,DET,3,1,1,0,0
brachbr01,2021,CIN,0,0,0,0,0
bradlar01,2021,PHI,1,0,0,0,0
bradlbo01,2021,CLE,245,51,25,6,3
bradlja02,2021,MIL,387,63,28,10,3
brantmi02,2021,HOU,469,146,33,5,1
brantro01,2021,NYA,20,3,0,1,0
brasiry01,2021,BOS,0,0,0,0,0
braulst01,2021,PIT,6,1,0,0,0
brebbjo01,2021,SFN,1,0,0,0,0
bregmal01,2021,HOU,348,94,44,4,4
brennbr01,2021,BOS,0,0,0,0,0
brentja01,2021,KCA,0,0,1,0,0
breweco01,2021,BOS,0,0,0,0,0
briceau01,2021,BOS,0,0,0,0,0
brinsle01,2021,MIA,274,62,13,1,1
brittza01,2021,NYA,0,0,0,0,0
brogdco01,2021,PHI,0,0,0,0,0
brossmi01,2021,TBA,150,28,15,2,2
brothre01,2021,CHN,2,0,0,0,0
brownse01,2021,OAK,281,60,23,1,2
brubajt01,2021,PIT,38,3,4,0,0
bruceja01,2021,NYA,34,4,5,0,0
bruihju01,2021,LAN,0,0,1,0,0
brujavi01,2021,TBA,26,2,0,0,0
bryankr01,2021,CHN,326,87,39,8,1
bryankr01,2021,SFN,187,49,23,1,1
bubickr01,2021,KCA,5,0,0,0,0
buchtry01,2021,ARI,0,0,0,0,0
buehlwa01,2021,LAN,69,7,5,0,0
bukaujb01,2021,ARI,0,0,0,0,0
bumgama01,2021,ARI,39,4,9,1,1
bummeaa01,2021,CHA,0,0,0,0,0
bundydy01,2021,LAA,4,1,0,0,0
burdiza01,2021,CHA,0,0,0,0,0
burdiza01,2021,BAL,0,0,0,0,0
burgeja01,2021,CHA,38,10,4,0,0
burneco01,2021,MIL,52,8,3,0,0
burnsan01,2021,LAN,11,3,3,1,0
burrobe01,2021,DET,0,0,0,0,0
burrobe01,2021,MIN,0,0,0,0,0
burrry01,2021,CHA,0,0,0,0,0
bushma01,2021,TEX,0,0,0,0,0
buterdr01,2021,LAA,32,3,0,0,1
buxtoby01,2021,MIN,235,72,13,6,0
cabreas01,2021,ARI,283,69,33,2,3
cabreas01,2021,CIN,26,2,3,1,1
cabreed02,2021,MIA,7,1,0,0,0
cabrege01,2021,SLN,0,0,0,0,0
cabremi01,2021,DET,472,121,40,5,9
cahiltr01,2021,PIT,9,1,0,0,0
cainlo01,2021,MIL,257,66,26,2,1
calhoko01,2021,ARI,166,39,15,0,1
calhowi01,2021,TEX,260,65,21,2,1
camarda01,2021,SDN,3,1,0,0,0
camarjo01,2021,ATL,16,0,2,0,0
camerda01,2021,DET,103,20,10,2,0
campber01,2021,SEA,11,3,1,0,0
campbpa02,2021,MIA,5,0,0,0,0
campulu01,2021,SDN,34,3,4,0,0
candeje01,2021,DET,557,151,65,4,0
canhama01,2021,OAK,519,120,77,27,2
cannigr01,2021,LAA,0,0,0,0,0
caratvi01,2021,SDN,313,71,35,4,4
carlsdy01,2021,SLN,542,144,57,11,8
carltdr01,2021,DET,0,0,0,0,0
carpema01,2021,SLN,207,35,35,6,1
carraca01,2021,NYN,15,0,0,0,0
casalcu01,2021,SFN,200,42,26,4,0
castada01,2021,MIA,4,0,0,0,0
castehu01,2021,ARI,6,3,0,0,1
casteni01,2021,CIN,531,164,41,7,6
castery01,2021,COL,1,0,0,0,0
castidi01,2021,TBA,0,0,0,0,0
castidi01,2021,SEA,0,0,0,0,0
castier01,2021,CHN,8,2,1,0,0
castiiv01,2021,SDN,3,1,1,0,0
castilu02,2021,CIN,49,8,1,0,0
castran02,2021,TOR,0,0,0,0,0
castrha01,2021,DET,315,89,14,1,5
castrja01,2021,HOU,149,35,25,3,0
castrke01,2021,SFN,0,0,0,0,0
castrmi01,2021,NYN,0,0,0,0,0
castrro01,2021,PIT,86,17,6,1,0
castrst01,2021,WAS,315,89,26,0,4
castrwi01,2021,DET,413,91,23,8,3
caveja01,2021,MIN,164,31,10,3,0
ceasedy01,2021,CHA,8,3,0,0,0
celesgi01,2021,MIN,59,8,3,0,0
cessalu01,2021,NYA,0,0,0,0,0
cessalu01,2021,CIN,0,0,0,0,0
chacijh01,2021,COL,6,0,0,0,0
chafian01,2021,CHN,0,0,0,0,0
chafian01,2021,OAK,0,0,0,0,0
changyu01,2021,CLE,237,54,11,2,1
chapmar01,2021,NYA,0,0,0,0,0
chapmma01,2021,OAK,529,111,80,4,9
chargjt01,2021,SEA,0,0,0,0,0
chargjt01,2021,TBA,0,0,0,0,0
chatwty01,2021,TOR,0,0,0,0,0
chatwty01,2021,SFN,1,0,0,0,0
chaveje01,2021,ATL,3,0,0,0,0
chavimi01,2021,BOS,79,15,1,1,1
chavimi01,2021,PIT,42,15,0,0,0
chiriro01,2021,CHN,97,22,9,5,0
chishja01,2021,MIA,464,115,34,4,3
choiji01,2021,TBA,258,59,45,2,0
cimbead01,2021,MIA,2,0,0,0,0
cimbead01,2021,TOR,0,0,0,0,0
cishest01,2021,LAA,0,0,0,0,0
cisnejo01,2021,DET,0,0,0,0,0
ciuffni01,2021,BAL,5,1,1,0,0
civalaa01,2021,CLE,1,0,1,0,0
clarkta01,2021,ARI,3,1,0,0,0
claseem01,2021,CLE,0,0,0,0,0
claudal01,2021,LAA,0,0,0,0,0
claysa01,2021,WAS,2,0,0,0,0
cleavga01,2021,LAN,2,1,0,0,0
clemeer01,2021,CLE,121,28,7,2,0
clippty01,2021,ARI,0,0,0,0,0
cobbal01,2021,LAA,1,0,0,0,0
codyky01,2021,TEX,0,0,0,0,0
coleaj01,2021,TOR,0,0,0,0,0
colege01,2021,NYA,0,0,0,0,0
colemdy01,2021,KCA,0,0,0,0,0
colliza01,2021,CHA,195,41,34,1,0
colomal01,2021,MIN,0,0,0,0,0
confomi01,2021,NYN,406,94,59,12,2
conlead01,2021,TBA,0,0,0,0,0
contrro01,2021,PIT,0,0,0,0,0
contrwi01,2021,CHN,413,98,52,14,4
contrwi02,2021,ATL,163,35,19,2,1
coonrsa01,2021,PHI,1,0,0,0,0
coopega03,2021,MIA,215,61,30,4,1
corbipa01,2021,WAS,53,7,3,0,0
cordefr02,2021,BOS,127,24,8,0,0
correca01,2021,HOU,555,155,75,4,6
cortene01,2021,NYA,1,0,0,0,0
cottojh01,2021,TEX,0,0,0,0,0
couloda01,2021,MIN,1,0,0,0,0
cousija01,2021,MIL,0,0,0,0,0
craigwi01,2021,PIT,60,13,5,0,0
crawfbr01,2021,SFN,483,144,56,5,5
crawfjp01,2021,SEA,619,169,58,5,4
crawfku01,2021,BOS,0,0,0,0,0
crichst01,2021,ARI,0,0,0,0,0
crickky01,2021,PIT,0,0,0,0,0
crismna01,2021,SDN,10,0,0,0,0
criswco01,2021,LAA,0,0,0,0,0
crochga01,2021,CHA,0,0,0,0,0
croncj01,2021,COL,470,132,60,13,4
croneja01,2021,SDN,567,151,55,10,3
crousha01,2021,PHI,1,0,0,0,0
crowewi01,2021,PIT,35,2,1,1,0
cruzne02,2021,MIN,296,87,35,5,7
cruzne02,2021,TBA,217,49,16,2,2
cruzon01,2021,PIT,9,3,0,0,0
cuetojo01,2021,SFN,29,2,3,0,0
culbech01,2021,TEX,247,60,17,2,1
curtijo02,2021,MIA,5,0,0,0,0
curtijo02,2021,MIL,0,0,0,0,0
dahlda01,2021,TEX,205,43,10,1,3
dalbebo01,2021,BOS,417,100,28,7,1
darnatr01,2021,ATL,209,46,17,2,1
darviyu01,2021,SDN,53,5,0,1,0
davidtu01,2021,ATL,6,0,0,0,0
davieza01,2021,CHN,34,6,0,0,0
davisau01,2021,PIT,0,0,0,0,0
davisau01,2021,BOS,0,0,1,0,0
davisja03,2021,SFN,9,1,0,0,0
davisjd01,2021,NYN,179,51,24,6,2
davisjo05,2021,TOR,70,10,11,3,1
davisjo05,2021,NYA,17,1,1,0,0
daviskh01,2021,TEX,51,8,8,0,2
daviskh01,2021,OAK,51,13,2,0,0
davista01,2021,PIT,5,2,1,0,0
daviswa01,2021,KCA,0,0,0,0,0
dawsoro01,2021,HOU,5,1,1,0,0
daytogr01,2021,ATL,0,0,0,0,0
dazayo01,2021,COL,301,85,21,2,1
deanau01,2021,SLN,30,7,6,0,2
degeubr01,2021,TEX,0,0,0,0,0
degeubr01,2021,ARI,0,0,0,0,0
degotal01,2021,HOU,6,2,1,0,0
degroja01,2021,NYN,33,12,0,0,0
deichgr01,2021,CHN,30,4,1,0,0
dejonch01,2021,PIT,12,1,0,0,0
dejonpa01,2021,SLN,356,70,35,9,2
delacbr01,2021,MIA,199,59,18,1,1
deleojo03,2021,CIN,4,1,0,0,0
delosen01,2021,PHI,0,0,0,0,0
delosen01,2021,PIT,0,0,0,0,0
delpomi01,2021,DET,0,0,0,0,0
desclan01,2021,SFN,51,2,4,0,0
deshide02,2021,CIN,47,12,9,0,0
detmere01,2021,LAA,1,0,1,0,0
detwiro01,2021,MIA,3,1,0,0,0
detwiro01,2021,SDN,0,0,0,0,0
devench02,2021,ARI,0,0,0,0,0
deverjo01,2021,MIA,41,10,3,1,1
deverra01,2021,BOS,591,165,62,7,4
diazal02,2021,HOU,294,76,16,9,0
diazed04,2021,NYN,0,0,0,0,0
diazel01,2021,COL,338,83,30,2,1
diazis01,2021,MIA,238,46,34,1,3
diazjh01,2021,LAA,0,0,0,0,0
diazle01,2021,MIA,122,25,6,0,0
diazmi02,2021,SDN,3,0,0,0,0
diazya01,2021,TBA,465,119,69,3,4
diazye01,2021,NYN,1,0,0,0,0
